id,trial_nr,block_nr,reward_cue,reward_condition,cue_target_latency,correct_key_color,ma_condition,fb_correct,fb_flipped,last_fb_flipped,accuracy,rt,trial_in_block
1,1,1,1,1,1501,0,1,1,0,0,1,800,1
1,2,1,1,1,1501,0,1,1,0,0,1,671,2
1,3,1,1,1,1501,1,1,1,0,0,1,464,3
1,4,1,1,1,1502,1,1,1,0,0,1,598,4
1,5,1,2,0,1501,0,1,1,0,0,1,706,5
1,6,1,1,1,1501,0,1,1,0,0,1,836,6
1,7,1,1,1,1501,0,1,1,0,0,1,634,7
1,8,1,1,1,1501,0,1,1,0,0,1,724,8
1,9,1,2,0,1501,1,1,1,0,0,1,505,9
1,10,1,1,1,1501,0,1,1,0,0,1,615,10
1,11,1,2,0,1501,1,1,1,0,0,1,682,11
1,12,1,1,1,1501,1,1,0,0,0,0,714,12
1,13,1,1,1,1501,1,1,1,0,0,1,606,13
1,14,1,2,0,1501,1,1,1,0,0,1,628,14
1,15,1,1,1,1501,1,1,1,0,0,1,555,15
1,16,1,2,0,1501,0,1,1,0,0,1,476,16
1,17,1,2,0,1502,1,1,1,0,0,1,536,17
1,18,1,1,1,1501,1,1,1,0,0,1,577,18
1,19,1,1,1,1501,1,1,1,0,0,1,642,19
1,20,1,2,0,1501,1,1,1,0,0,1,462,20
1,21,1,2,0,1501,1,1,1,0,0,1,453,21
1,22,1,2,0,1501,0,1,1,0,0,1,316,22
1,23,1,2,0,1501,1,1,1,0,0,1,535,23
1,24,1,2,0,1501,0,1,1,0,0,1,541,24
1,25,1,2,0,1502,0,1,1,0,0,1,743,25
1,26,1,1,1,1501,1,1,1,0,0,1,546,26
1,27,1,1,1,1501,0,1,1,0,0,1,488,27
1,28,1,1,1,1501,0,1,1,0,0,1,548,28
1,29,1,1,1,1501,1,1,1,0,0,1,570,29
1,30,1,2,0,1502,0,1,1,0,0,1,502,30
1,31,1,2,0,1502,1,1,1,0,0,1,764,31
1,32,1,1,1,1501,1,1,1,0,0,1,540,32
1,33,1,1,1,1501,1,1,1,0,0,1,622,33
1,34,1,1,1,1502,0,1,1,0,0,1,545,34
1,35,1,2,0,1501,1,1,1,0,0,1,533,35
1,36,1,1,1,1501,1,1,1,0,0,1,514,36
1,37,1,1,1,1502,1,1,1,0,0,1,517,37
1,38,1,2,0,1501,1,1,1,0,0,1,488,38
1,39,1,1,1,1501,1,1,1,0,0,1,558,39
1,40,1,2,0,1501,0,1,1,0,0,1,394,40
1,41,1,2,0,1501,1,1,1,0,0,1,535,41
1,42,1,2,0,1501,1,1,1,0,0,1,680,42
1,43,1,1,1,1501,1,1,1,0,0,1,573,43
1,44,1,2,0,1501,0,1,1,0,0,1,319,44
1,45,1,2,0,1502,1,1,1,0,0,1,460,45
1,46,1,2,0,1501,1,1,0,0,0,0,657,46
1,47,1,2,0,1501,1,1,1,0,0,1,452,47
1,48,1,2,0,1501,1,1,1,0,0,1,412,48
1,49,1,1,1,1502,1,1,1,0,0,1,629,49
1,50,1,2,0,1501,1,1,1,0,0,1,471,50
1,51,1,2,0,1501,0,1,1,0,0,1,490,51
1,52,1,2,0,1501,1,1,1,0,0,1,503,52
1,53,1,2,0,1501,1,1,1,0,0,1,470,53
1,54,1,2,0,1501,0,1,1,0,0,1,431,54
1,55,1,1,1,1501,0,1,1,0,0,1,894,55
1,56,1,2,0,1501,0,1,0,0,0,0,804,56
1,57,1,2,0,1501,0,1,1,0,0,1,600,57
1,58,1,2,0,1501,1,1,1,0,0,1,482,58
1,59,1,2,0,1502,1,1,1,0,0,1,511,59
1,60,1,1,1,1501,1,1,1,0,0,1,451,60
1,61,1,1,1,1501,1,1,1,0,0,1,533,61
